EMPLID,CL1,CL2,CL3,CL4,CL5,CL6,CL7,CL8,CL9,CL10,CL11,CL12,CL13,CL14,CL15,CL16,CL17,CL18,CL19,CL20,
1000002,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
1000103,,1,,,,,,,,,,0,1,1,,,,,,,3
1000138,0,,,,,0,0,0,0,0,0,,,,,,,,,,0
1000141,0,,,,,0,0,0,0,0,0,,,,,,,,,,0
1000249,0,,,,,1,0,,,,,0,,,0,,,,,,1
1000352,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1000355,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
1000359,0,,,,,0,0,1,0,,,,,,,,,,,,1
1000389,0,0,,0,,0,0,0,0,1,0,,,,0,,,,,,1
1000488,0,,,0,,0,0,0,0,0,0,0,0,,0,,0,0,,,0
1000521,0,,,,,0,0,0,0,0,1,0,,,0,,,,,,1
1000576,0,,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0
1000655,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1000794,,,,,,,,,,,,0,,,,,,,0,,0
1000845,0,,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,,,0
1000860,0,,0,,,0,0,0,0,0,0,0,,0,0,,,,,,0
1000866,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1000979,0,0,0,0,0,,,,,,,0,0,0,1,0,1,0,0,,2
1001190,0,,,,,0,0,0,0,,,0,,,,,,,,,0
1001211,0,,,,,0,0,0,0,0,0,,0,,0,,,0,,,0
1001218,0,0,0,,,,,,,,,0,0,,,,,0,,,0
1001250,0,,,,0,0,0,0,0,0,0,,,,,,,,,,0
1001263,0,0,,0,,0,0,0,0,0,0,,,0,0,,,,,,0
1001486,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
1001526,0,,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1001637,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,0
1001792,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1001980,0,,0,,0,0,0,,,,,0,0,0,0,0,0,0,,,0
1001982,0,0,0,0,0,0,0,,0,1,,0,0,,0,0,0,0,,,1
1001985,,0,0,,,,,,,,,0,0,,,0,,0,0,,0
